id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
11,CO,223,ANC,SEA,3,49,201,1,2P41gZ,Porty,Jori,Male,39,Tunisia,Nuevo Casas Grandes Airport,MX,Mexico,NAM,North America,5/27/2022,NCG,Rasia Fidelus,Cancelled,Adria Airways,1,"""Very bad experience overall""",5th October 2018,FALSE,  Zurich to Ljubljana. Very poor customer service. Flight was cancelled without sending any email confirmation. The flight I was rebooked seemed to be overbooked at the beginning (which was not true)and we had to wait 30 min to have our ticket changed. Very bad experience overall.,,Business,Economy Class,Zurich to Ljubljana,Oct-18,2,1,,1,1,1,1,no,satisfied,Loyal Customer,58,Personal Travel,Eco,104,0,0,0,3,3,3,3,3,3,0,1,2,3,5,47,48
12,DL,1646,PHX,ATL,3,50,212,1,sBf524,Briant,De La Haye,Male,71,Russia,Ruben Cantu Airport,PA,Panama,NAM,North America,2/06/2022,SYP,Alina Flooks,Delayed,Adria Airways,1,"""bad customer service""",29th July 2018,TRUE,"  Vienna to Sofia. The flight was delayed by 2 hours. The cabin crew was annoyed that they had to offer drinks to the passengers and passing by announced they would only give one drink per customer. And coffee was a nuisance and they made it clear, even though it was on their cart. The questions would normally go ""would you drink anything?"" and not ""what would you like to drink?"". Very bad customer service.",,Family Leisure,Economy Class,Vienna to Sofia,Jul-18,4,1,1,4,,,1,no,satisfied,Loyal Customer,34,Personal Travel,Eco,3633,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0
13,DL,2055,SLC,ATL,3,50,210,0,PlwJZT,Kalie,Scoble,Female,47,Sweden,Loralai Airport,PK,Pakistan,AS,Asia,3/19/2022,LRG,Madelena Lennarde,Delayed,Adria Airways,2,"""overall very poor""",19th July 2018,TRUE,"  We were traveling from Paris to Skopje on May 4th, via Ljubljana. Our flight from Ljubljana to Skopje, was canceled 10 days before our departure for no reason, leaving us in the middle of our connection at Ljubljana. Even if the company booked a hotel for us and made sure we could take a flight the next day, it prevented us from enjoying one more day in Macedonia. The company had agreed to reimburse the hostel night we had already paid but more than two months after our claim we still have no reply from the company. I e-mailed the company two times, called them on multiple occasion. The company said I would be reimbursed after 2 months. 2 months later, I still have not received anything. The experience with Adria Airways was overall very poor : - flight canceled for no reason - 2 out of 4 of the flights we took were delayed - terrible customer service, unable to give any answer to our online claim and not reimbursing the hostel night we had already paid",,Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May-18,3,3,,3,,,2,no,satisfied,Loyal Customer,62,Personal Travel,Eco,1695,0,0,0,4,5,0,5,5,1,3,2,2,4,5,0,0
14,AA,2408,LAX,DFW,3,55,170,0,iU75x3,Catriona,Beaument,Female,77,Russia,Cudal Airport,AU,Australia,OC,Oceania,3/24/2022,CUG,Margie Beal,Delayed,Adria Airways,2,"""Would not fly again""",30th June 2018,TRUE,"  Ljubljana to Munich. Adria's checkin system is obviously barely coping. It wasn't possible to obtain an electronic boarding pass (iphone wallet version) from Adria's site. The option was there but it failed without any further explanation. Further more I was not able to checkin to return flight online - neither through Adria nor Lufthansa web site. In the end I made it via Lufthansa mobile app. Go figure. Both issues were reported to customer care and both were ignored. I experienced the same customer care ""policy"" couple of years ago when my inquiry with customer support was basically ignored. Flight was actually operated by a Romanian company Carpatair. The cabin was outdated and dirty with a funny smell lingering around. The latter stuck to my clothes for the day - not that great if you are meeting a client. Cabin crew was also quite disorganised and mixed up orders of all passengers sitting around me. Would not fly again. Unfortunately they are the only company offering a direct flight from LJU to MUC.",,Business,Economy Class,Ljubljana to Munich,Jun-18,1,2,2,2,,,1,no,satisfied,Loyal Customer,35,Personal Travel,Eco,1766,0,1,0,1,4,0,4,4,3,5,2,3,2,4,0,0
15,AS,132,ANC,PDX,3,55,215,0,GUta6R,Amberly,Handling,Female,32,China,Farmington Regional Airport,US,United States,NAM,North America,3/07/2022,FAM,Lothaire Eades,Delayed,Adria Airways,3,"""very unpleasant experience""",24th June 2018,TRUE,"  A very unpleasant experience for my family. We bought two return flights (Ljubljana-Prague-Ljubljana, Ljubljana-Warsaw-Ljubljana), and several days before departure both direct flights from and to Prague were canceled and a flight to Warsaw was merged with Prague flight (so added necessary stopover). Instead of a direct flight to Prague Adria Airways finally offered a transfer via Munich. When we arrived at the airport (21/6/2018), we found that the flight to Munich had more than an hour of delay, and therefore it was not possible to catch the next flight from Munich to Prague. The flight to Munich was full of people from the original canceled flight to Prague, who subsequently wanted to continue to Prague. Although the Adria Airways staff were present at the airport, no one came to inform the passengers and the result was tremendous confusion and lack of information. Ljubljana airport servicing staff finally informed us that Adria Airways staff refused to come! Also wasn't possible to call the Adria Airways hotline. Maybe it had been overloaded due to the number of disgruntled passengers because the next gate was full of people waiting for a delayed flight to Vienna, where there also wasn't anybody from Adria Airways who could provide any information. Unfortunately this flight left without us and we were all forced to ride from the Munich airport to a more than 30 km distant hotel and the next morning at 6am again back. Permanent cancellation of flights and subsequent ignorance of passengers are surely a way to reduce operating costs, but in the long-term this will cause the outflow of passengers to other airports around Slovenia, especially to Graz and to Zagreb.",A319,Couple Leisure,Economy Class,Ljubljana to Prague,Jun-18,3,3,,1,,,1,no,satisfied,Loyal Customer,47,Personal Travel,Eco,84,0,1,0,1,5,2,1,5,5,0,5,2,5,2,40,48
16,US,498,DEN,CLT,3,55,179,0,8qA80a,Dyna,De'Vere - Hunt,Female,22,China,Oudtshoorn Airport,ZA,South Africa,AF,Africa,7/18/2022,OUH,Neila Giercke,Cancelled,Adria Airways,1,"""Flight was very comfortable""",4th May 2018,TRUE,"  Frankfurt to Ljubljana. Flight was very comfortable, professional crew. The monitors above passengers provide informations about flight (speed, altitude, temperature, time to landing, etc.)",,Business,Economy Class,Frankfurt to Ljubljana,Apr-18,5,5,5,5,,,5,yes,satisfied,Loyal Customer,60,Personal Travel,Eco,1373,0,1,0,1,1,0,1,1,3,4,1,4,2,1,0,0
17,B6,98,DEN,JFK,3,59,213,0,2haCDu,Janella,Hardaker,Female,28,Colombia,Zaraza Airport,VE,"Venezuela, Bolivarian Republic of",SAM,South America,9/23/2022,ZRZ,Shaylynn Alcott,On Time,Adria Airways,1,"""delayed for more than 2 hours""",11th March 2018,TRUE,"  Ljubljana to Frankfurt. Flight delayed for more than 2 hours due to technical problems. We were not given any food or water and when I requested some I was told to complain to Adria Airways website. Another plane was organized, more than 2 hrs later. The staff was trying to convince the passengers that their connection to Singapore will wait (they had 15 min in between the new flight arrival time and departure!), and that the flight to Frankfurt is 1 hr - and no wifi connectivity on flight!",,Solo Leisure,Economy Class,Ljubljana to Frankfurt,Mar-18,2,1,1,1,1,1,1,no,satisfied,Loyal Customer,13,Personal Travel,Eco,3693,0,1,0,2,4,0,4,4,4,4,1,3,1,4,5,0
18,CO,1496,LAS,IAH,3,60,162,0,WiVl8o,Alvin,Wenzel,Male,12,Greece,Enshi Airport,CN,China,AS,Asia,3/29/2022,ENH,Alfie MacMorland,Delayed,Adria Airways,3,"""should be ashamed of their operations""",5th December 2017,TRUE,"  Ljubljana to Vienna. Overall, the flight services of Adria are those of an average, reliable, small European carrier. I have flown them many times over the years, and I have seldom experienced any problems with the flights themselves. Returning to Vienna from a visit to Albania and Slovenia in September, however, I had an encounter with Adria that has revealed just how much their customer service quality could be improved. Adria offers opportunities to purchase business class upgrades or empty economy class seats through Optiontown. Business class upgrades on Adria are a joke because you're paying at least 50EUR for an empty seat next to you and a snack. The option to purchase an empty economy class seat at 19EUR is a great deal though, in my opinion. Having selected this option for my LJU-VIE flight, I received a confirmation that my transaction had cleared and the extra seat had been assigned next to me. Fast forward to the actual flight: there had been an aircraft change from the CRJ-900 to an ATR-72 (Darwin Airlines/Etihad Regional), but I still had my empty seat. The ATR-72 has two seats that face towards the rear of the plane at the front of the cabin, and one of the women seated there was scared to fly backwards, so the flight attendant unilaterally reassigned her to my empty seat without asking. It's a short flight, and I didn't want to cause a scene, so I just let it all happen assuming I could easily get a refund for my 20EUR transaction. It took exactly one month for Adria's customer service team to respond to me, and they said that my ""business class upgrade"" had not cleared, so I was not charged. I had never requested a business class upgrade, and I was charged for the empty seat I had in fact requested, so I sent all of the relevant receipts and statements back to Adria. Three weeks later, I still have yet to receive a response, so I simply disputed the charge with my credit card company that was easily able to understand the issue and refunded the money. 3-4 weeks+ response time from customer service is absolutely embarrassing, and Adria should be ashamed of their operations. It's sad for an otherwise perfectly acceptable airline to lose a customer over 20EUR.",ATR-72,Solo Leisure,Economy Class,Ljubljana to Vienna,Sep-17,2,4,1,1,,,3,no,satisfied,Loyal Customer,52,Personal Travel,Business,2610,0,1,0,2,1,2,2,1,1,0,1,2,1,3,0,0
19,DL,1450,LAS,MSP,3,60,181,0,e0H5LI,Jerrine,Peeters,Female,87,Philippines,Thompson Airport,CA,Canada,NAM,North America,11/03/2022,YTH,Chandra Dyhouse,Cancelled,Adria Airways,9,"""Two nice short flights""",20th November 2017,TRUE," Two nice short flights from Ljubljana to Sarajevo and back. First flight with Adria, flight back with Adria Switzerland. Flight to Sarajevo delayed due to fog in Sarajevo, Adria quickly changed an aircraft so that it was possible to land in foggy weather (CRJ instead of ATR). Product depends weather it is Adria or Adria Switzerland. Adria with snack, water and buy on board product, Adria Switzerland with snack, water, tea and coffee and without buy on board. I personally prefer the second option. Adria Switzerland provided nicer and cosier atmosphere on board, somehow a kind of premium product compare to Adria mainline.",CRJ700 / ATR72,Business,Economy Class,Ljubljana to Sarajevo,Nov-17,5,5,3,5,,,3,yes,satisfied,Loyal Customer,55,Personal Travel,Eco,2554,0,1,0,2,0,1,1,2,1,1,2,1,3,1,0,0
20,CO,507,ONT,IAH,3,75,167,0,nL8kyD,Warner,Driutti,Male,62,China,Guilin Liangjiang International Airport,CN,China,AS,Asia,9/05/2022,KWL,Marita Holtom,Cancelled,Adria Airways,2,"""extremely bad service""",27th October 2017,FALSE, We were 11 people coming in with a short connection to Zurich hoping to continue with Adria to Ljubjana. We were before final call at the departure gate. Other people were still boarding. Adria had decided to rebook us and could not put us back on the plane. I and my wife had no checked in baggage. We had to wait 5 hours for next flight. This was extremely bad service and will do our utmost to never have to fly Adria again. We will also warn all our flying friends.,,Couple Leisure,Economy Class,Zurich to Ljubjana,Oct-17,3,3,,1,,,1,no,satisfied,Loyal Customer,28,Personal Travel,Eco,3095,0,1,0,2,3,0,3,3,2,5,2,3,2,3,0,0
21,AS,128,FAI,SEA,3,80,206,0,9iT79e,Paige,Hayhow,Male,24,Sweden,Crested Butte Airpark,US,United States,NAM,North America,2/19/2022,CSE,Clyde Winn,Delayed,Adria Airways,2,"""never fly this airline again""",16th September 2017,FALSE,"  Ljubljana to Munich after arriving from Atlanta on Delta. Flight was ok, short 50 min. But they lost our baggage, if we didn't persistently call the airport we wouldn't have our bags for a week because they are lazy. One bag was badly damaged and things missing. We did everything they told us to do to report it but they didn't honor it and it took 3 months for them to pay us around 20% of the replacements and extra expenses we had for days. Very rude, try to blame it on the customer, if you don't live in Slovenia and your only communication is over emails it takes 2 to 3 weeks for them to reply even if you send them email right after they sent one. That day they lost baggage for 3 different passengers and when we had our return flight there were two more passengers that said they lost their bags so this is normal for that airline. It was a cheaper option to fly with them, but it was not worth the extra cost later. I would never fly this airline again. ",,Family Leisure,Economy Class,Ljubljana to Munich ,Jun-17,3,4,1,1,,1,2,no,satisfied,Loyal Customer,9,Personal Travel,Eco,3305,0,1,0,2,3,0,5,3,1,1,1,3,3,3,0,0
22,DL,2223,ANC,SLC,3,85,270,0,kEARqP,Dorisa,Skill,Female,19,Ukraine,St Augustin Airport,CA,Canada,NAM,North America,11/05/2022,YIF,Ilyse Bartleman,Cancelled,Adria Airways,9,"""can't remember a flight delay""",19th April 2017,FALSE," Ljubljana to Zurich on April 18th. Adria Airways has become in recent years a more reliable airline which I use for these flights. I can't remember a delay and I fly them once a month. Flight Attendants are professionel. Food and Drinks (except water) have to be purchased. Sandwiches are tasty, wine choice could be better. Newspapers are available for free but mostly in Slovenian language only. Seat pitch on emergency exits are above international standards and safety seems to be their Nr. 1 aim as it is one of the rare airlines having extra safety instructions for passengers seated on emergency exit seats. Their inflight magazine is available online or printed. Not necessarily exciting but solid and reliable product which I can recommend.",CR9,Business,Economy Class,Ljubljana to Zurich,Apr-17,5,5,4,5,4,,4,yes,satisfied,Loyal Customer,10,Personal Travel,Eco,2090,0,1,0,2,1,0,1,1,3,5,1,4,2,1,0,0
23,AS,112,ANC,SEA,3,90,200,0,dx3NWh,Bobbye,Patmore,Female,45,China,Port Bergé Airport,MG,Madagascar,AF,Africa,8/24/2022,WPB,Stella Pittham,On Time,Adria Airways,8,"""seat was quite comfortable """,27th January 2017,FALSE,"  Ljubljana to Vienna. After a fast boarding procedure the plane took off in time. The seat was quite comfortable although the cabin looked a bit nagged. Despite the fact that this was a regional flight, Adria Airways offered a Wifi service with good connection, an IFE system and free chat function amongst the passengers. A very friendly crew welcomed the passengers onboard and started their service which was pretty impressive for this 50 minutes flight. The business meal tasted great and we landed punctually in Vienna.",Canadair 700,Solo Leisure,Business Class,LJU to VIE,Dec-16,5,5,4,5,5,5,4,yes,satisfied,Loyal Customer,25,Personal Travel,Eco,2122,0,1,0,2,2,0,4,2,4,1,3,1,3,2,0,0
24,HA,17,LAS,HNL,3,100,380,1,Dpafly,Jayme,Dairton,Female,29,Indonesia,Hato Corozal Airport,CO,Colombia,SAM,South America,8/06/2022,HTZ,Kaye Clews,Delayed,Adria Airways,1,"""nice and comfortable flights""",10th November 2016,FALSE,"  Two very short flights with Adria Airways from Ljubljana to Vienna and back. Both on time. CRJ aircrafts new, cabin fresh and seats comfortable. On both flights welcome from the flight deck with all information about the flight before take-off. Cabin crews polite and professional. Overall nice and comfortable flights.",CRJ900,Business,Economy Class,LJU to VIE,Oct-16,5,5,,5,,,4,yes,satisfied,Loyal Customer,53,Personal Travel,Business,1099,0,1,0,2,1,3,3,1,1,0,1,3,1,1,0,0
25,US,122,ANC,PHX,3,113,327,1,WV3aXu,Sayre,Stroyan,Male,87,Indonesia,Elkhart Municipal Airport,US,United States,NAM,North America,3/20/2022,EKI,Austine Crewe,Cancelled,Adria Airways,8,"""what a great surprise""",9th November 2016,FALSE,"  I boarded the CRJ900 flight and at my seat I had the table down and on it a pre-flight snack, water and juice. What a great surprise as you arrive to your seat. Loved it. Although the meal wasn't the best, it was good and the wine very good. The first row is very spacious and lots of legroom, which is not always guaranteed for bulkhead. I find the new generation CRJ900 plane very comfy with big windows so was very pleased with the whole flight.",CRJ900,Solo Leisure,Business Class,LJU to CPH,Nov-16,4,4,3,3,,,4,yes,satisfied,Loyal Customer,16,Personal Travel,Eco Plus,1747,0,1,0,2,2,0,2,2,3,3,2,4,3,2,0,0
26,AS,114,ANC,SEA,3,150,200,0,f27tyG,Joellyn,Stutter,Female,8,Croatia,Timbedra Airport,MR,Mauritania,AF,Africa,2/19/2022,TMD,Janaya Retchford,On Time,Adria Airways,5,"""value for money is not there nor the experience""",3rd November 2016,FALSE,"  Fly only if no other connection, I am a frequent business flyer mostly departing from Vienna or Munich to destinations. The flight with Adria was chosen due to convenience, however if I had an option to choose next time, the value for money is not there nor the experience. Outdated aircraft (buzzing from AC in the upper compartment present the whole time of descending and extremly anoying. Complimentary glass of water and snack (pretzles). Other options only upon payment (does not seem acceptable fot the price over 400 eur). Not to mention online check in unavailable from Paris, while the traffic to the airport is unpredictable, hence online check in is a must. All in all I would fly Adria again only if there is no other option left. The aircraft staff though very nice.",,Business,Economy Class,CDG to LJU,Nov-16,3,5,1,4,3,3,1,no,satisfied,Loyal Customer,30,Personal Travel,Eco,1817,0,1,0,2,4,0,4,4,2,1,3,3,2,4,0,0
27,B6,766,BQN,MCO,3,240,169,0,g2jtbv,Julietta,Delahunt,Female,14,Democratic Republic of the Congo,Bagan Airport,MM,Myanmar,AS,Asia,10/03/2022,NYU,Aimil Shakshaft,Delayed,Adria Airways,2,"""fleet is tired and outdated""",21st October 2016,FALSE,"  Munich to Ljubljana. Adria Airways as the national carrier pretty much holds a monopoly in this market and even those few carriers who had flown limited scheduled routes into the Slovenian capital, Air France and Swiss, have regretfully withdrawn their services. I have spent a lifetime of flying and the Adria product, I am sorry to say, is grossly inadequate. There is nothing appealing about Adria's offering and what incentive do they have to lift their standard when there is no competition to stimulate improvement? The entire fleet is tired and outdated. The business class product is non existent, staff are at best disinterested, leaning towards unfriendly. And what's with those announcements? They are completely impossible to understand, not just in English and German but also in Slovenian. If not having flown as often as I have to know what the announcements are about, there is no hope in hell that a normal person can understand the dribble that comes over the PA. Guess how many uninformed passengers does that make for? If one is not fluent in a language, and heavily accented, then one must slow down so others can hopefully understand you. But what's their excuse of not pronouncing Slovenian correctly. Everything is executed at such a speed so they can place a tick against that task, yet no care is invested to make sure the task is executed effectively. ! Pick up your game or your end will come one day when monopoly is broken (look around the world to learn from other such stories).  I have found a solution to avoid flying Adria Airways where possible - Turkish Airlines presence is now pretty strong in LJU and I can't fault their service. Whenever flying into LJU from a geographical destination where IST is a logical place to transit, TK is my carrier of choice.",CRJ-900,Solo Leisure,Economy Class,MUC to LJU,Oct-16,1,1,2,3,1,,1,no,satisfied,Loyal Customer,64,Personal Travel,Eco,1707,0,1,0,2,5,0,3,5,4,4,2,3,2,5,0,0
